Word,Count
#ConstraintLayout_Layout_layout_constraintHeight_default,2
android:layout,2
#ConstraintLayout_Layout_layout_constraintVertical_weight,2
#RecycleListView_paddingTopNoTitle,2
alexlahdekorpi.bclepakko:contentInsetStart,2
#SwitchCompat_showText,2
#ActionBar_icon,2
#SearchView_queryHint,2
#AppCompatImageView_android_src,2
#MenuGroup_android_enabled,2
#ConstraintLayout_Layout_layout_constraintEnd_toStartOf,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintLeft_creator},2
alexlahdekorpi.bclepakko:layout_constraintLeft_creator,2
#SearchView_goIcon,2
android:layout}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintHorizontal_weight,2
#MenuItem_android_icon,2
#View_paddingEnd,2
alexlahdekorpi.bclepakko:divider}</code></td><td></td></tr>,2
#PopupWindow_android_popupBackground,2
#ConstraintLayout_Layout_layout_constraintWidth_min,2
#ConstraintSet_layout_goneMarginTop,2
alexlahdekorpi.bclepakko:layout_constraintHorizontal_chainStyle,2
#SwitchCompat_thumbTextPadding,2
#ConstraintLayout_Layout_layout_constraintGuide_begin,2
#AppCompatTheme_selectableItemBackground,2
#SwitchCompat_track,2
<tr><td><code>homeAsUp</code></td><td>0x4</td><td></td></tr>,2
#SearchView_submitBackground,2
android:layout_gravity}</code></td><td></td></tr>,2
#AppCompatTheme_checkedTextViewStyle,2
alexlahdekorpi.bclepakko:layout_goneMarginLeft}</code></td><td></td></tr>,2
#ActionBar_subtitleTextStyle,2
#ConstraintSet_layout_constraintBaseline_creator,2
#AppCompatTheme_listDividerAlertDialog,2
android:maxWidth}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintEnd_toEndOf,2
android:minHeight,2
android.R.attr#maxWidth},2
alexlahdekorpi.bclepakko:contentInsetEndWithActions,2
#Toolbar_contentInsetEndWithActions,2
#ConstraintSet_layout_constraintTop_creator,2
<tr><td><code>all</code></td><td>2</td><td></td></tr>,2
#AppCompatTheme_textColorAlertDialogListItem,2
alexlahdekorpi.bclepakko:layout_constraintTop_creator}</code></td><td></td></tr>,2
#Toolbar_collapseContentDescription,2
alexlahdekorpi.bclepakko:layout_constraintBaseline_toBaselineOf}</code></td><td></td></tr>,2
#AppCompatTextHelper_android_drawableLeft,2
alexlahdekorpi.bclepakko:layout_goneMarginBottom,2
#DrawerArrowToggle_barLength,2
#AppCompatTheme_popupMenuStyle,2
#ConstraintSet_android_layout_width,2
<tr><td><code>none</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_windowFixedWidthMajor,2
alexlahdekorpi.bclepakko:layout_constraintGuide_begin,2
#TextAppearance_android_shadowDy,2
alexlahdekorpi.bclepakko.R.attr#layout_editor_absoluteY},2
#ViewStubCompat_android_layout,2
#AppCompatTextHelper_android_drawableRight,2
android:focusable,2
#AppCompatTheme_listPopupWindowStyle,2
#TextAppearance_android_shadowColor,2
#AppCompatTheme_windowActionBarOverlay,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintStart_toStartOf},2
#AppCompatTheme_windowFixedHeightMajor,2
alexlahdekorpi.bclepakko:layout_constraintBottom_toBottomOf}</code></td><td></td></tr>,2
android:textAppearance}</code></td><td></td></tr>,2
#Toolbar_collapseIcon,2
#AppCompatTheme_panelMenuListWidth,2
#ConstraintSet_layout_constraintLeft_toLeftOf,2
#MenuItem_android_titleCondensed,2
android.R.attr#enabled},2
#AppCompatTheme_dividerHorizontal,2
<tr><td><code>wrap_content</code></td><td>0</td><td></td></tr>,2
android.R.attr#visible},2
#ConstraintLayout_Layout_layout_constraintLeft_toRightOf,2
#ConstraintSet_layout_constraintStart_toEndOf,2
<tr><td><code>never</code></td><td>0</td><td></td></tr>,2
#AppCompatTheme_colorAccent,2
#AppCompatTheme_actionBarWidgetTheme,2
#AppCompatTheme_spinnerStyle,2
alexlahdekorpi.bclepakko:layout_constraintHeight_max}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintWidth_min},2
\test,\,2
#ActionBar_logo,2
#ConstraintLayout_Layout_layout_goneMarginEnd,2
android:visible,2
alexlahdekorpi.bclepakko:layout_constraintLeft_toLeftOf,2
alexlahdekorpi.bclepakko.R.attr#layout_goneMarginLeft},2
#AppCompatTheme_activityChooserViewStyle,2
#AppCompatTextHelper_android_drawableBottom,2
#AlertDialog_android_layout,2
alexlahdekorpi.bclepakko:layout_constraintStart_toStartOf}</code></td><td></td></tr>,2
#AppCompatTheme_panelBackground,2
alexlahdekorpi.bclepakko:backgroundSplit}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_goneMarginTop,2
alexlahdekorpi.bclepakko:layout_constraintBottom_creator,2
#ActionBar_elevation,2
alexlahdekorpi.bclepakko:layout_constraintHeight_min,2
alexlahdekorpi.bclepakko:layout_constraintLeft_creator}</code></td><td></td></tr>,2
<tr><td><code>useLogo</code></td><td>0x1</td><td></td></tr>,2
android:layout_width,2
<tr><td><code>always</code></td><td>2</td><td></td></tr>,2
<tr><td><code>ifRoom</code></td><td>1</td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintVertical_weight}</code></td><td></td></tr>,2
#Toolbar_buttonGravity,2
alexlahdekorpi.bclepakko:background}</code></td><td></td></tr>,2
#AppCompatImageView},2
#AppCompatTheme_windowNoTitle,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintBottom_toBottomOf},2
#ConstraintSet_layout_goneMarginEnd,2
#CompoundButton_android_button,2
#ConstraintLayout_Layout_layout_goneMarginStart,2
#ConstraintLayout_Layout_layout_constraintGuide_percent,2
#Spinner_popupTheme,2
alexlahdekorpi.bclepakko:layout_constraintWidth_max}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:background,2
#MenuItem_actionProviderClass,2
#AppCompatTheme_toolbarStyle,2
#ConstraintSet_layout_constraintStart_toStartOf,2
#SwitchCompat_thumbTintMode,2
<tr><td><code>top</code></td><td>0x30</td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintDimensionRatio,2
#ListPopupWindow_android_dropDownVerticalOffset,2
#ConstraintSet_android_translationX,2
android:layout_height,2
#AppCompatTheme_buttonBarButtonStyle,2
#MenuView_android_itemBackground,2
#AppCompatTheme_listPreferredItemPaddingLeft,2
#ConstraintLayout_Layout_layout_constraintWidth_max,2
#AppCompatTheme_textAppearancePopupMenuHeader,2
#DrawerArrowToggle_thickness,2
#ColorStateListItem_android_color,2
#AppCompatTextView_textAllCaps,2
#AppCompatTheme_windowFixedHeightMinor,2
#AppCompatTheme_actionModeBackground,2
#ConstraintSet_android_layout_marginBottom,2
#AppCompatTheme_spinnerDropDownItemStyle,2
alexlahdekorpi.bclepakko:textAllCaps,2
#AppCompatTheme_colorPrimary,2
#AppCompatTheme_buttonBarPositiveButtonStyle,2
alexlahdekorpi.bclepakko:layout_constraintVertical_chainStyle}</code></td><td></td></tr>,2
<tr><td><code>normal</code></td><td>0</td><td></td></tr>,2
#AppCompatTextHelper_android_textAppearance,2
#AppCompatTheme_actionModeCopyDrawable,2
#AppCompatTheme_actionModeSplitBackground,2
#LinearLayoutCompat_measureWithLargestChild,2
#Toolbar_navigationIcon,2
documentation</a>,2
#AppCompatTheme_colorBackgroundFloating,2
alexlahdekorpi.bclepakko:homeAsUpIndicator}</code></td><td></td></tr>,2
android:orderInCategory,2
alexlahdekorpi.bclepakko:layout_constraintWidth_default,2
#Toolbar_titleMargin,2
alexlahdekorpi.bclepakko:layout_constraintVertical_weight,2
#AppCompatTextHelper_android_drawableEnd,2
android.R.attr#layout_gravity},2
#View_android_theme,2
#ConstraintSet_layout_constraintBottom_toBottomOf,2
#TextAppearance_android_shadowDx,2
#MenuItem_android_orderInCategory,2
alexlahdekorpi.bclepakko:layout_constraintBottom_toTopOf}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintRight_creator,2
android:visible}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintTop_toTopOf,2
#MenuView_android_headerBackground,2
#AlertDialog_singleChoiceItemLayout,2
alexlahdekorpi.bclepakko:layout_constraintBottom_toBottomOf,2
#ConstraintSet_layout_constraintGuide_end,2
#ConstraintSet_android_alpha,2
#ConstraintLayout_Layout_layout_constraintHeight_max,2
#CompoundButton_buttonTint,2
